ID,name,Dbpedia_URL
C0278688,Metastatic_Ovary_cancer,http://dbpedia.org/resource/Metastatic_breast_cancer
C0522224,Paralysis,http://dbpedia.org/resource/Paralysis
C0153467,Peritoneal_cancer,http://dbpedia.org/resource/Peritoneal_ligament
C1096666,Metastatic_Thyroid_cancer,http://dbpedia.org/resource/Thyroid_cancer
C0022492,Erotomania,http://dbpedia.org/resource/Erotomania
C0040188,Tic_disorder,http://dbpedia.org/resource/Tic_disorder
C0020179,Huntington's_disease,http://dbpedia.org/resource/Huntington's_disease
C0600427,Cocaine_dependence,http://dbpedia.org/resource/Cocaine_dependence
C0151546,Oral_cavity_cancer,http://dbpedia.org/resource/Oral_cancer
C0917801,Insomnia,http://dbpedia.org/resource/Insomniac
C0236795,Psychogenic_amnesia,http://dbpedia.org/resource/Psychogenic_amnesia
C1263846,Attention_deficit_hyperactivity_disorder,http://dbpedia.org/resource/Attention_deficit_hyperactivity_disorder
C0010276,Craniopharyngioma,http://dbpedia.org/resource/Craniopharyngioma
C0032019,Pituitary_tumors,http://dbpedia.org/resource/Fibroepithelial_neoplasms
C0494165,Metastatic_liver_cancer,http://dbpedia.org/resource/Metastatic_liver_disease
C0009241,Cognitive_disorder,http://dbpedia.org/resource/Cognitive_disorder
C0279530,Bone_cancer,http://dbpedia.org/resource/Bone_cancer_in_cats_and_dogs
C0037650,Somatoform_disorder,http://dbpedia.org/resource/Somatic_symptom_disorder
C0036908,Sexual_masochism_disorder,http://dbpedia.org/resource/Sexual_masochism_disorder
C2015799,Other_Neurological_Disorders,http://dbpedia.org/resource/List_of_neurological_conditions_and_disorders
C0029401,Paget's_disease,http://dbpedia.org/resource/Extramammary_Paget's_disease
C0006012,Borderline_personality_disorder,http://dbpedia.org/resource/Borderline_personality_disorder
C0003431,Antisocial_personality_disorder,http://dbpedia.org/resource/Antisocial_personality_disorder
C0220636,Salivary_gland_cancer,http://dbpedia.org/resource/Salivary_gland
C0746787,Neck_cancer,http://dbpedia.org/resource/Head_and_neck_cancer
C0149654,Conduct_disorder,http://dbpedia.org/resource/Conduct_disorder
C0041671,Attention_deficit_disorder,http://dbpedia.org/resource/Attention_deficit_hyperactivity_disorder
C0027627,Metastatic_Cancer,http://dbpedia.org/resource/Metastatic_breast_cancer
C0236712,Caffeine-induced_anxiety_disorder,http://dbpedia.org/resource/Caffeine-induced_anxiety_disorder
C0349712,Recurrent_brief_depression,http://dbpedia.org/resource/Recurrent_brief_depression
C3658283,Ekbom's_Syndrome_(Delusional_Parasitosis),http://dbpedia.org/resource/Delusional_parasitosis
C1704231,Leptomeningeal_metastases,http://dbpedia.org/resource/Subarachnoid_space
C0027404,Narcolepsy,http://dbpedia.org/resource/Narcolepsy_Network
C0002624,Retrograde_amnesia,http://dbpedia.org/resource/Retrograde_amnesia
C0030477,Paranoid_personality_disorder,http://dbpedia.org/resource/Paranoid_personality_disorder
C0334361,Ovarian_primary_peritoneal_carcinoma_,http://dbpedia.org/resource/Primary_peritoneal_carcinoma
C0338591,Transient_global_amnesia,http://dbpedia.org/resource/Transient_global_amnesia
C0236792,Asperger_syndrome,http://dbpedia.org/resource/Asperger_syndrome
C0869474,Dyscalculia,http://dbpedia.org/resource/Dyscalculia
C4302241,Rumination_syndrome,http://dbpedia.org/resource/Rumination_syndrome
C0238324,Ovarian_germ_cell_tumor,http://dbpedia.org/resource/Germ_cell_tumor
C0002625,Amnestic_disorder,http://dbpedia.org/resource/Amnestic_functor
C2362914,Clinical_Depression,http://dbpedia.org/resource/Major_depressive_disorder
C0005887,Body_dysmorphic_disorder,http://dbpedia.org/resource/Body_dysmorphic_disorder
C1696701,Dermatillomania,
C0016142,Pyromania,http://dbpedia.org/resource/Pyromania_World_Tour
C0553580,Ewing_sarcoma,http://dbpedia.org/resource/Ewing_sarcoma_breakpoint_region_1
C0334265,Transitional_cell_cancer_,http://dbpedia.org/resource/Cancer_cell
C0740394,hyperuricaemia,http://dbpedia.org/resource/Hyperuricemia
C0023827,Liposarcoma,http://dbpedia.org/resource/Liposarcoma
C0007103,Endometrial_cancer,http://dbpedia.org/resource/Endometrial_cancer
C0036351,Residual_schizophrenia,http://dbpedia.org/resource/Residual
C0033975,Psychoses,http://dbpedia.org/resource/Organic_prepartum_and_postpartum_psychoses
C0854995,Paranasal_sinus_cancer,http://dbpedia.org/resource/Paranasal_air_sinus
C0153398,Hypopharyngeal_cancer,http://dbpedia.org/resource/Hypopharyngeal_cancer
C0038436,Posttraumatic_stress_disorder (PTSD),http://dbpedia.org/resource/Posttraumatic_stress_disorder
C0007134,Renal_cell_carcinoma,http://dbpedia.org/resource/Renal_cell_carcinoma
C0001442,Adenosarcoma_,http://dbpedia.org/resource/Adenosarcoma
C0220613,Soft_tissue_sarcoma,http://dbpedia.org/resource/Soft_tissue_sarcoma_in_cats_and_dogs
C0751416,Pelvic_cancer,http://dbpedia.org/resource/Pelvic_tumor
C0036341,Schizophrenia,http://dbpedia.org/resource/Schizophrenia_disorder_10_(periodic_catatonia)
C0001973,Alcohol_dependence,http://dbpedia.org/resource/Alcohol_dependence
C0002871,Anemia_Defficiency,http://dbpedia.org/resource/Anemia
C0153618,Renal_pelvis_cancer,http://dbpedia.org/resource/Renal_pelvis
C0024117,chronic_airways_disease,http://dbpedia.org/resource/Chronic_obstructive_pulmonary_disease
C2203937,Night_eating_syndrome,http://dbpedia.org/resource/Night_eating_syndrome
C0153349,Tongue_cancer,http://dbpedia.org/resource/Tongue
C0948380,Metastatic_Colorectal_cancer,http://dbpedia.org/resource/Metastatic_colorectal_cancer
C0205969,Thymoma/thymic_carcinoma,http://dbpedia.org/resource/Thymic_carcinoma
C0496836,Ocular_cancer,http://dbpedia.org/resource/Eyepiece
C0024517,Major_depressive_episode,http://dbpedia.org/resource/Major_depressive_episode
C0025202,Cutaneous_melanoma,http://dbpedia.org/resource/Melanoma
C0036358,Schizophreniform_disorder,http://dbpedia.org/resource/Schizophreniform_disorder
C0008909,Claustrophobia,http://dbpedia.org/resource/Claustrophobia_(disambiguation)
C0007130,Mucinous_carcinoma,http://dbpedia.org/resource/Mucinous_carcinoma
C0006870,Cannabis_dependence,http://dbpedia.org/resource/Cannabis_dependence
C0149637,Lip_cancer,http://dbpedia.org/resource/Lip
C0562383,Physical_abuse,http://dbpedia.org/resource/Physical_abuse
C0023434,Chronic_lymphocytic_leukemia_(CLL),http://dbpedia.org/resource/B-cell_chronic_lymphocytic_leukemia
C1262477,Weight_Loss,http://dbpedia.org/resource/Weight_loss_camp
C0242339,dyslipidemia,http://dbpedia.org/resource/Dyslipidemia
C1261473,Sarcoma_soft_tissue,http://dbpedia.org/resource/Soft-tissue_sarcoma
C3898222,Mucosal_melanoma,http://dbpedia.org/resource/Mucosal_melanoma
C0036337,Schizoaffective_disorder,http://dbpedia.org/resource/Schizoaffective_disorder
C0205851,Germ_cell_tumor,http://dbpedia.org/resource/Germ_cell_tumor
C0149925,Oat_cell_cancer,http://dbpedia.org/resource/Cancer_cell
C0149871,thrombosis_venous_deep,http://dbpedia.org/resource/Deep_vein_thrombosis
C0006118,Brain_tumor,http://dbpedia.org/resource/Brain_tumor
C0042237,Vaginal_cancer,http://dbpedia.org/resource/Vaginal_cancer
C0007129,Merkel_cell_carcinoma,http://dbpedia.org/resource/Merkel-cell_carcinoma
C0026764,Multiple_myeloma,http://dbpedia.org/resource/Multiple_myeloma
C0236737,Hallucinogen-related_disorder,http://dbpedia.org/resource/Hallucinogen
C0004391,Autophagia,http://dbpedia.org/resource/Autophagia
C1658125,Spinal_cord_cancer,http://dbpedia.org/resource/Spinal_cord
C0015957,Sexual_fetishism,http://dbpedia.org/resource/Sexual_fetishism
C0456511,Sleep_paralysis,http://dbpedia.org/resource/Sleep_paralysis
C0017301,General_adaptation_syndrome,http://dbpedia.org/resource/Space_adaptation_syndrome
C0029925,Ovarian_cancer,http://dbpedia.org/resource/Ovarian_cancer
C0178272,Pulmonary_Circulation_Disorder,http://dbpedia.org/resource/Pulmonary_circulation
C0021776,Intermittent_explosive_disorder,http://dbpedia.org/resource/Intermittent_explosive_disorder
C0553814,Oneirophrenia,http://dbpedia.org/resource/Oneirophrenia
C0007117,Basal_cell_carcinoma,http://dbpedia.org/resource/Basal-cell_carcinoma
C0037317,Sleep_disorder,http://dbpedia.org/resource/Sleep_disorder_specialist
C0007124,Ductal_carcinoma_in_situ_(DCIS),http://dbpedia.org/resource/Ductal_carcinoma_in_situ
C0032606,Polysubstance-related_disorder,http://dbpedia.org/resource/Polysubstance
C0011581,Melancholia,http://dbpedia.org/resource/Melancholia
C0278498,Metastatic_Stomach_cancer,http://dbpedia.org/resource/Stomach_cancer
C0036939,Shared_psychotic_disorder,http://dbpedia.org/resource/Folie_à_deux
C0029463,Osteogenic_sarcoma,http://dbpedia.org/resource/Osteosarcoma
C0282609,Bone_marrow_cancer,http://dbpedia.org/resource/Bone_marrow
C0238198,Gastrointestinal_stromal_tumors_(GIST),http://dbpedia.org/resource/Stromal_tumor
C2931618,Gestational_Trophoblastic_Disease_(GTD),http://dbpedia.org/resource/Gestational_trophoblastic_disease
C0011570,Depression,http://dbpedia.org/resource/Depression
C0018915,Hemangioendothelioma,http://dbpedia.org/resource/Hemangioendothelioma
C0036344,Catatonic_schizophrenia,http://dbpedia.org/resource/Schizophrenia
C0004114,Astrocytoma,http://dbpedia.org/resource/Astrocytoma
C0153601,Penile_cancer,http://dbpedia.org/resource/Penile_cancer
C0019829,Hodgkin_lymphoma,http://dbpedia.org/resource/Hodgkin's_lymphoma
C1621958,Glioblastoma_multiforme_(GBM),http://dbpedia.org/resource/Glioblastoma_multiforme
C0007133,Papillary_carcinoma,http://dbpedia.org/resource/Papillary_renal_cell_carcinomas
C0023473,Chronic_myelogenous_leukemia_(CML),http://dbpedia.org/resource/Chronic_myelogenous_leukemia
C0206754,Neuroendocrine_tumors_(NETs),http://dbpedia.org/resource/NETS
C0034748,Reactive_attachment_disorder of_infancy_or_early_childhood,http://dbpedia.org/resource/Reactive_attachment_disorder
C0919930,hipofonesis,
C0031511,Pheochromocytoma,http://dbpedia.org/resource/Pheochromocytoma
C0206686,Adrenocortical_carcinoma,http://dbpedia.org/resource/Adrenocortical_carcinoma
C1708998,Metastatic_Adrenal_gland_cancer,http://dbpedia.org/resource/Adrenal_gland
C0033139,Primary_insomnia,http://dbpedia.org/resource/Insomnia_(2002_film)
C0206637,Mesenchymal_chondrosarcoma,http://dbpedia.org/resource/Mesenchymal_chondrosarcoma
