HPOID,Name,CUI,DBpedia_URI,,
3270,Abdominal_distention,C0000731,http://dbpedia.org/resource/Abdominal_distension,,
2027,Abdominal_pain,C0000737,http://dbpedia.org/resource/Abdominal_pain,,
5268,Spontaneous_abortion,C0000786,http://dbpedia.org/resource/Recurrent_miscarriage,,
1941,Acidosis,C0001122,http://dbpedia.org/resource/Acidosis,,
3128,Lactic_acidosis,C0001125,http://dbpedia.org/resource/Lactic_acidosis,,
1947,Renal_tubular_acidosis,C0001126,http://dbpedia.org/resource/Renal_tubular_acidosis,,
5972,Respiratory_acidosis,C0001127,http://dbpedia.org/resource/Respiratory_acidosis,,
1735,Acute_pancreatitis,C0001339,http://dbpedia.org/resource/Acute_pancreatitis,,
846,Adrenal_insufficiency,C0001623,http://dbpedia.org/resource/Adrenal_insufficiency,,
718,Aggressive_behavior,C0001807,http://dbpedia.org/resource/Passive-aggressive_behavior,,
1913,Granulocytopenia,C0001824,http://dbpedia.org/resource/Agranulocytosis,,
12234,Agranulocytosis,C0001824,http://dbpedia.org/resource/Agranulocytosis,,
12592,Albuminuria,C0001925,http://dbpedia.org/resource/Albuminuria,,
30955,Alcoholism,C0001973,http://dbpedia.org/resource/Alcoholism,,
1948,Alkalosis,C0002063,http://dbpedia.org/resource/Alkalosis,,
1950,Respiratory_alkalosis,C0002064,http://dbpedia.org/resource/Respiratory_alkalosis,,
1596,Alopecia,C0002170,http://dbpedia.org/resource/Alopecosa,,
2229,Alopecia_areata,C0002170,http://dbpedia.org/resource/Alopecia_areata,,
6516,Hypersensitivity_pneumonitis,C0002390,http://dbpedia.org/resource/Hypersensitivity_pneumonitis,,
2511,Alzheimer_disease,C0002395,http://dbpedia.org/resource/Alzheimer's_disease,,
646,Amblyopia,C0002418,http://dbpedia.org/resource/Amblyopia,,
9827,Amelia,C0002447,http://dbpedia.org/resource/Amelia,,
141,Amenorrhea,C0002453,http://dbpedia.org/resource/Amenorrhoea,,
11034,Amyloidosis,C0002726,http://dbpedia.org/resource/Amyloidosis,,
100845,Anaphylactic_shock,C0002792,http://dbpedia.org/resource/Anaphylactoid,,
1903,Anemia,C0002871,http://dbpedia.org/resource/Anemia,,
1915,Aplastic_anemia,C0002874,http://dbpedia.org/resource/Aplastic_anemia,,
1878,Hemolytic_anemia,C0002878,http://dbpedia.org/resource/Hemolytic_anemia,,
1890,Autoimmune_hemolytic_anemia,C0002880,http://dbpedia.org/resource/Autoimmune_hemolytic_anemia,,
1931,Hypochromic_anemia,C0002884,http://dbpedia.org/resource/Hypochromic_anemia,,
1972,Macrocytic_anemia,C0002886,http://dbpedia.org/resource/Macrocytic_anemia,,
1889,Megaloblastic_anemia,C0002888,http://dbpedia.org/resource/Megaloblastic_anemia,,
2323,Anencephaly,C0002902,http://dbpedia.org/resource/Anencephaly,,
2617,Dilatation,C0002940,http://dbpedia.org/resource/Dinamation,,
1681,Angina_pectoris,C0002962,http://dbpedia.org/resource/Angina_pectoris,,
100665,Angioedema,C0002994,http://dbpedia.org/resource/Angioedema,,
9916,Anisocoria,C0003079,http://dbpedia.org/resource/Anisocoria,,
2039,Anorexia,C0003123,http://dbpedia.org/resource/Manorexia,,
458,Anosmia,C0003126,http://dbpedia.org/resource/Anosmia,,
100519,Anuria,C0003460,http://dbpedia.org/resource/Anuria,,
2023,Anal_atresia,C0003466,http://dbpedia.org/resource/Imperforate_anus,,
739,Anxiety,C0003467,http://dbpedia.org/resource/Anxiety,,
4942,Aortic_aneurysm,C0003486,http://dbpedia.org/resource/Aortic_aneurysm,,
1680,Coarctation_of_aorta,C0003492,http://dbpedia.org/resource/Coarctation_of_the_aorta,,
1650,Aortic_valve_stenosis,C0003507,http://dbpedia.org/resource/Aortic_stenosis,,
2381,Aphasia,C0003537,http://dbpedia.org/resource/Aphasia,,
1686,Loss_of_voice,C0003564,http://dbpedia.org/resource/Part_(music),,
2104,Apnea,C0003578,http://dbpedia.org/resource/Apnea,,
5943,Respiratory_arrest,C0003578,http://dbpedia.org/resource/Respiratory_arrest,,
2186,Apraxia,C0003635,http://dbpedia.org/resource/Apraxia,,
11675,Arrhythmia,C0003811,http://dbpedia.org/resource/Arrhythmica,,
2621,Atherosclerosis,C0003850,http://dbpedia.org/resource/Atherosclerosis,,
2634,Arteriosclerosis,C0003850,http://dbpedia.org/resource/Arteriosclerosis,,
4947,Arteriovenous_fistula,C0003855,http://dbpedia.org/resource/Arteriovenous_fistula,,
12089,Arteritis,C0003860,http://dbpedia.org/resource/Arteritis,,
2829,Arthralgia,C0003862,http://dbpedia.org/resource/Arthralgia,,
1369,Arthritis,C0003864,http://dbpedia.org/resource/Arthritis,,
1370,Rheumatoid_arthritis,C0003873,http://dbpedia.org/resource/Rheumatoid_arthritis,,
1541,Ascites,C0003962,http://dbpedia.org/resource/Ascites,,
25406,Asthenia,C0004093,http://dbpedia.org/resource/Asthena,,
31590,Asthenopia,C0004095,http://dbpedia.org/resource/Asthenopia,,
2099,Asthma,C0004096,http://dbpedia.org/resource/Asthma,,
9592,Astrocytoma,C0004114,http://dbpedia.org/resource/Astrocytoma,,
1251,Ataxia,C0004134,http://dbpedia.org/resource/Ataxia,,
10867,Dyssynergia,C0004134,http://dbpedia.org/resource/Dyssynergia,,
100750,Atelectasis,C0004144,http://dbpedia.org/resource/Atelectasis,,
2635,Type_IV_atherosclerotic_lesion,C0004153,http://dbpedia.org/resource/Type_IV_tape,,
5110,Atrial_fibrillation,C0004238,http://dbpedia.org/resource/Atrial_fibrillation,,
4749,Atrial_flutter,C0004239,http://dbpedia.org/resource/Atrial_flutter,,
1678,Atrioventricular_block,C0004245,http://dbpedia.org/resource/Atrioventricular_block,,
11709,Atrioventricular_dissociation,C0004331,http://dbpedia.org/resource/Atrioventricular,,
717,Autism,C0004352,http://dbpedia.org/resource/Autism,,
2960,Autoimmunity,C0004364,http://dbpedia.org/resource/Autoimmunity,,
27,Azoospermia,C0004509,http://dbpedia.org/resource/Azoospermia,,
3418,Back_pain,C0004604,http://dbpedia.org/resource/Back_pain,,
31864,Bacteremia,C0004610,http://dbpedia.org/resource/Bacteremia,,
12461,Bacteriuria,C0004659,http://dbpedia.org/resource/Bacteriuria,,
7302,Bipolar_affective_disorder,C0005586,http://dbpedia.org/resource/Bipolar_disorder,,
10474,Bladder_stones,C0005683,http://dbpedia.org/resource/Bladder_stone,,
9725,Bladder_neoplasm,C0005695,http://dbpedia.org/resource/Urinary_bladder,,
11,Neurogenic_bladder,C0005697,http://dbpedia.org/resource/Neurogenic_bladder_dysfunction,,
498,Blepharitis,C0005741,http://dbpedia.org/resource/Blepharitis,,
508,Ptosis,C0005745,http://dbpedia.org/resource/Ptosis,,
643,Blepharospasm,C0005747,http://dbpedia.org/resource/Blepharospasm,,
3256,Abnormality_of_the_coagulation_cascade,C0005779,http://dbpedia.org/resource/Coagulation,,
30049,Brain_abscess,C0006105,http://dbpedia.org/resource/Brain_abscess,,
2181,Cerebral_edema,C0006114,http://dbpedia.org/resource/Cerebral_edema,,
25428,Bronchospasm,C0006266,http://dbpedia.org/resource/Bronchospasm,,
11950,Bronchiolitis,C0006271,http://dbpedia.org/resource/Bronchiolitis,,
11946,Bronchiolitis_obliterans,C0006272,http://dbpedia.org/resource/Bronchiolitis_obliterans,,
12387,Bronchitis,C0006277,http://dbpedia.org/resource/Bronchitis,,
3763,Bruxism,C0006325,http://dbpedia.org/resource/Bruxism,,
100739,Bulimia,C0006370,http://dbpedia.org/resource/Budimir,,
11710,Bundle_branch_block,C0006384,http://dbpedia.org/resource/Bundle_branch_block,,
25232,Bursitis,C0006444,http://dbpedia.org/resource/Bursitis,,
4326,Cachexia,C0006625,http://dbpedia.org/resource/Cachexia,,
25017,Capillary_fragility,C0006905,http://dbpedia.org/resource/Capillary,,
100570,Carcinoid_tumor,C0007095,http://dbpedia.org/resource/Pulmonary_carcinoid_tumour,,
30731,Carcinoma,C0007097,http://dbpedia.org/resource/Carcinoma,,
3003,Colon_cancer,C0007102,http://dbpedia.org/resource/Colorectal_cancer,,
2671,Basal_cell_carcinoma,C0007117,http://dbpedia.org/resource/Basal-cell_carcinoma,,
5584,Renal_cell_carcinoma,C0007134,http://dbpedia.org/resource/Renal_cell_carcinoma,,
